,Week_range,Values,,,,,,,
,Week GJ (2026-02-01 to 2026-02-07),,,,,,,,
showname,Spends_GST,CP_AF_CPT_D0,AF_CPI,AF_IR%,AF_TR%,AF_TCR%,CPM,CPC,CTR
Saanwari,"380,219",390,57,6.21%,14.71%,30.64%,57,3.6,1.60%
Minzar,"30,716",698,115,4.41%,16.54%,29.55%,82,5.1,1.60%
BuilderBoys,"7,931",317,52,12.20%,16.23%,28.00%,88,6.3,1.39%
bewafadarling,"6,869","2,290",208,5.06%,9.09%,66.67%,59,10.5,0.56%
punarjanam,"1,792",448,50,11.58%,11.11%,0.00%,77,5.8,1.34%
videshibahu,"1,277",255,49,9.35%,19.23%,20.00%,51,4.6,1.11%
GJ31st,"1,165","1,165",58,10.93%,5.00%,0.00%,72,6.4,1.13%
jholachhap,"1,103",551,110,6.41%,20.00%,50.00%,92,7.1,1.31%
Grand Total,"431,072",407,60,6.21%,14.77%,30.47%,59,3.7,1.58%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Week_range,Values,,,,,,,
,Week GJ (2026-01-25 to 2026-01-31),,,,,,,,
showname,Spends_GST,CP_AF_CPT_D0,AF_CPI,AF_IR%,AF_TR%,AF_TCR%,CPM,CPC,CTR
Saanwari,"10,250",256,27,22.59%,10.47%,30.00%,57,6,0.94%
Grand Total,"10,250",256,27,22.59%,10.47%,30.00%,57,6,0.94%
