,Week_range,Values,,,,,,,,,,,,
,Week (2026-02-01 to 2026-02-07),,,,,,,,,,,,,
Show_Name - APP,Spends_GST,af_start_trial,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,
Saanwari,"1,007,212","3,555",283,285,32.04%,"2,107",13.14%,25.02%,22.31%,40.57%,0.55%,52,9.32,
31st,"593,574","2,362",251,268,31.51%,"1,271",21.13%,28.43%,20.57%,35.67%,0.45%,68,15.10,
JholaChhap,"106,186",219,485,542,38.27%,"2,528",6.82%,28.82%,33.72%,31.84%,0.62%,59,9.53,
Minzar,"88,201",209,422,493,29.61%,"2,450",18.76%,15.71%,33.84%,45.58%,0.71%,88,12.44,
BuilderBoys,"60,660",121,501,578,35.24%,"2,637",21.33%,14.94%,17.09%,31.17%,0.38%,60,15.98,
Punarjanam,"19,225",33,583,663,31.03%,"4,806",6.32%,28.70%,27.33%,26.00%,0.93%,98,10.57,
BewafaDarling,"6,725",2,"3,363","3,363",0.00%,"6,725",1.68%,15.38%,28.66%,34.09%,1.87%,162,8.67,
VideshiBahu,"4,311",7,616,616,0.00%,"4,311",10.33%,20.59%,27.02%,38.14%,0.49%,64,13.10,
Akshar,"3,874",6,646,646,66.67%,"3,874",14.87%,15.00%,13.55%,16.82%,0.24%,35,14.40,
Grand Total,"1,889,969","6,514",290,302,32.01%,"1,795",14.84%,25.43%,22.69%,38.50%,0.53%,58,10.95,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Week_range,Values,,,,,,,,,,,,
,Week (2026-01-25 to 2026-01-31),,,,,,,,,,,,,
Show_Name - APP,Spends_GST,af_start_trial,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,Spends_gst%
Saanwari,"115,300",784,147,162,37.32%,"1,624",24.53%,31.95%,19.93%,44.56%,0.44%,50,11.53,60.40%
31st,"29,021",241,120,138,34.60%,854,30.84%,32.61%,30.90%,41.36%,0.81%,99,12.11,15.20%
Akshar,"22,074",30,736,849,61.54%,"11,037",11.81%,19.23%,27.52%,17.05%,0.42%,70,16.71,11.56%
JholaChhap,"11,520",32,360,411,28.57%,"2,880",9.71%,39.51%,50.33%,32.23%,0.68%,93,13.81,6.03%
Minzar,"6,981",13,537,776,44.44%,"1,745",19.26%,27.66%,26.68%,35.28%,0.32%,91,28.61,3.66%
BuilderBoys,"6,013",13,463,601,20.00%,"3,007",28.34%,18.57%,27.02%,26.83%,0.56%,137,24.35,3.15%
Grand Total,"190,910","1,113",172,192,37.02%,"1,632",23.58%,31.38%,23.18%,39.29%,0.48%,61,12.69,100.00%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Insights:,,,,,,,,,,,,,,
"Compared to the previous week (launch week), there's been increase in total trials by ~6x from 1113 to 6514 in this week",,,,,,,,,,,,,,
There's been a increase in WoW spends as well by 9x from 1.9 lacs to 18.8 lacs,,,,,,,,,,,,,,
The most impacted metric in the funnel WoW has been the IR% that dropped from 23.5% to 14.8%,,,,,,,,,,,,,,
"With the new shows in pipeline, we will be reducing our dependency on Saanwari and 31st ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stage TAM,,,,,,,,,,,,,,
,Week_range,Values,,,,,,,,,,,,
,Week (2026-02-01 to 2026-02-07),,,,,,,,,,,,,
Show_Name - APP,Spends_GST,af_start_trial,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,Spends_gst%
Saanwari,"36,545",151,242,277,32.58%,"4,061",13.78%,32.06%,20.75%,36.47%,0.61%,64.94,10.69,100.00%
Grand Total,"36,545",151,242,277,0,"4,061",13.78%,32.06%,20.75%,36.47%,0.61%,64.94,10.69,100.00%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAN IND - Stage TAM,,,,,,,,,,,,,,
,Week_range,Values,,,,,,,,,,,,
,Week (2026-02-01 to 2026-02-07),,,,,,,,,,,,,
Show_Name - APP,Spends_GST,af_start_trial,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,Spends_gst%
Saanwari,"8,485",36,236,265,31.25%,"4,243",12.52%,53.73%,23.47%,30.03%,0.64%,101.34,15.86,100.00%
Grand Total,"8,485",36,236,265,0,"4,243",12.52%,53.73%,23.47%,30.03%,0.64%,101.34,15.86,100.00%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Region Split (Feb MTD),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TAM,,,PAN IND - TAM,,,,,,,,,,,
