Week (2026-02-04 to 2026-02-10),,,,,,,,,,,,
Grouped Showname,Spends_GST,Trial_web,Mandate_CAC,CP_AM_CPT_D0,TCR_D0,AM_CPD1,Hook Rate%,Hold Rate%,CTR,CPM,CPC,Spends_gst%
Randeep Hooda,"1,227,822","4,862",253,237,12.1%,,11.36%,0.26,18.00%,757,4,48.76%
Sanwari,"658,875","1,895",348,294,35.4%,"47,063",23.48%,0.32,0.83%,67,8,26.16%
CBKR,"161,277",482,335,287,20.1%,"161,277",44.21%,0.28,11.99%,609,5,6.40%
VideshiBahu,"144,401",363,398,408,12.4%,"144,401",41.13%,0.33,9.63%,398,4,5.73%
BewafaDarling,"132,783",367,362,374,49.9%,,34.59%,0.21,2.09%,134,6,5.27%
NKB,"108,277",284,381,348,9.6%,"108,277",51.00%,0.17,20.02%,"1,214",6,4.30%
AndaGang,"62,037",132,470,,,"62,037",31.69%,0.27,0.85%,57,7,2.46%
HusbandOnSale,"11,880",60,198,290,34.1%,"11,880",32.99%,0.33,2.66%,191,7,0.47%
MPJ,"10,747",22,488,,,,28.53%,0.38,2.22%,133,6,0.43%
Maayajaal,83,0,,42,0.0%,,18.29%,0.40,1.22%,113,9,0.00%
Kaand2010,11,0,,,,,13.24%,0.22,0.00%,79,,0.00%
Stage,0,0,,0,0.0%,,,,,,,0.00%
Grand Total,"2,518,194","8,467",297,279,19.9%,"132,537",24.56%,0.30,3.41%,175,5,100.00%
,,,,,,,,,,,,
reduced budgets on all microdramas,,,,,,,,,,,,
"videshi bahu good tcr , scaled",,,,,,,,,,,,
vb2 not picking up spends so separate adsets are created,,,,,,,,,,,,
"tried to scale anda gang and mpj , didnt work",,,,,,,,,,,,
,,,,,,,,,,,,
Week (2026-01-27 to 2026-02-03),,,,,,,,,,,,
Grouped Showname,Spends_GST,Trial_web,Mandate_CAC,CP_AM_CPT_D0,TCR_D0,AM_CPD1,Hook Rate%,Hold Rate%,CTR,CPM,CPC,Spends_gst%
Randeep Hooda,"1,032,650","5,451",189,189,15.0%,"516,325",12.93%,0.25,17.43%,661,4,48.65%
CBKR,"372,028","1,481",251,212,12.3%,"10,942",40.97%,0.26,13.34%,584,4,17.53%
Sanwari,"360,936","1,725",209,179,36.7%,"6,562",22.45%,0.30,0.82%,59,7,17.00%
NKB,"155,988",593,263,235,9.3%,"11,142",49.37%,0.17,20.21%,967,5,7.35%
VideshiBahu,"51,032",196,260,248,14.1%,"25,516",57.72%,0.22,26.22%,"1,526",6,2.40%
HusbandOnSale,"43,561",158,276,279,31.4%,"21,780",25.35%,0.29,3.74%,247,7,2.05%
Maayajaal,"39,704",117,339,299,23.3%,"13,235",15.25%,0.36,1.73%,99,6,1.87%
BewafaDarling,"24,505",128,191,193,50.4%,"24,505",36.58%,0.23,1.90%,125,7,1.15%
MPJ,"23,015",52,443,,,"23,015",27.48%,0.56,1.81%,110,6,1.08%
AndaGang,"19,316",42,460,,,"19,316",33.91%,0.26,1.79%,91,5,0.91%
Kaand2010,1,0,,,,,0.00%,,0.00%,43,,0.00%
Stage,0,0,,0,50.0%,,,,,,,0.00%
Grand Total,"2,122,735","9,943",213,202,19.1%,"18,459",23.10%,0.29,4.87%,218,4,100.00%
