Week (2026-02-04 to 2026-02-10),,,,,,,,,,,,,,
Grouped Showname,Spends_GST,af_start_trial_uni,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,
Sanwari,"1,485,318","4,597",323,340,35.12%,"2,643",11%,25.62%,25.90%,27.2%,0.5%,47,9,
CBKR,"443,599","1,275",348,354,38.58%,"4,481",15%,56.67%,26.46%,40.0%,1.1%,308,29,
AndaGang,"186,503",278,671,696,41.79%,"3,108",4%,27.74%,26.02%,24.7%,0.6%,41,7,
MPJ,"183,984",432,426,459,34.91%,"2,000",6%,55.24%,20.88%,38.2%,0.6%,78,14,
VB2,"138,634",84,"1,650","1,755",34.18%,"5,545",1%,28.00%,20.76%,27.1%,1.4%,44,3,
Randeep Hooda,"93,804",148,634,700,24.63%,"3,350",3%,45.68%,16.49%,22.9%,0.4%,32,7,
Kayantar,"80,146",123,652,691,33.62%,"2,585",2%,38.80%,23.67%,30.9%,1.7%,71,4,
Muawja,"41,464",29,"1,430","1,536",33.33%,"5,923",0%,26.85%,39.33%,30.2%,5.3%,69,1,
HusbandOnSale,"8,588",16,537,661,53.85%,"8,588",5%,53.33%,29.84%,36.8%,1.2%,161,14,
Consideration,"8,415",4,"2,104","2,104",25.00%,"8,415",2%,13.33%,17.15%,19.8%,1.1%,59,5,
VideshiBahu,"5,708",2,"2,854","5,708",0.00%,"5,708",1%,20.00%,42.55%,26.1%,2.1%,71,3,
KJ,"4,842",11,440,538,33.33%,"1,614",0%,14.29%,86.66%,23.4%,34.2%,62,0,
NKB,"2,433",14,174,243,30.00%,"1,216",8%,70.00%,38.66%,57.0%,1.6%,156,10,
ShaitaniTeddy,218,1,218,,,,0%,25.00%,83.22%,11.2%,30.9%,75,0,
Jholachhap,148,0,,,,,0%,,23.69%,35.7%,1.0%,53,5,
AatmaExchange,2,0,,,,,,,25.00%,0.0%,0.0%,63,,
Grand Total,"2,683,804","7,014",383,401,35.79%,"2,943",6%,30.23%,24.99%,27.8%,0.7%,55,7,
,,,,,,,,,,,,,,
videshi bahu 2 insights - 4 adgroups,,,,,,,,,,,,,,
scaled down mpj and anda gang due to high cac,,,,,,,,,,,,,,
"husbandonsale, kjand nkb reduced budgets due to high d0 tcr, will reduce on cbkr",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week (2026-01-27 to 2026-02-03),,,,,,,,,,,,,,
Grouped Showname,Spends_GST,af_start_trial_uni,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,
Sanwari,"720,140","2,236",322,348,34.28%,"2,063",9%,26.11%,26.99%,24.2%,0.7%,56,8,
MPJ,"691,148","1,549",446,468,34.03%,"1,814",5%,52.74%,27.95%,38.5%,0.9%,100,11,
CBKR,"578,774","1,956",296,312,36.35%,"3,508",14%,56.37%,26.61%,37.4%,1.0%,253,24,
AndaGang,"323,977",805,402,446,38.43%,"2,025",9%,27.71%,37.85%,26.8%,0.4%,45,11,
HusbandOnSale,"249,881",834,300,320,39.95%,"2,603",22%,56.35%,24.97%,38.1%,0.5%,199,36,
Maayajaal,"182,858",732,250,260,43.67%,"2,505",15%,50.00%,15.45%,44.5%,0.6%,110,19,
Randeep Hooda,"125,376",234,536,565,31.98%,"2,090",5%,40.77%,24.58%,26.2%,0.5%,54,10,
NKB,"59,868",231,259,298,38.81%,"1,535",3%,56.76%,28.84%,50.2%,2.8%,112,4,
Jholachhap,"35,229",74,476,518,30.88%,"1,761",3%,56.49%,32.00%,35.8%,1.5%,124,8,
AkhiriMulakat,"30,394",22,"1,382","1,520",25.00%,"10,131",0%,25.00%,57.49%,25.6%,9.0%,98,1,
Muawja,"26,332",14,"1,881","1,755",6.67%,"8,777",0%,23.73%,28.97%,25.9%,4.0%,78,2,
KJ,"24,518",36,681,791,25.81%,"2,452",0%,14.88%,89.71%,21.8%,32.1%,57,0,
TaaleeEkGoonj,"16,440",6,"2,740","3,288",80.00%,,1%,10.00%,0.00%,0.0%,1.9%,52,3,
Kayantar,"14,083",16,880,880,18.75%,"2,817",1%,28.57%,18.64%,30.2%,1.9%,62,3,
ShaitaniTeddy,"8,628",7,"1,233","1,079",62.50%,"2,876",0%,13.73%,86.42%,11.4%,24.5%,73,0,
Muaavja,"6,189",3,"2,063","2,063",0.00%,"6,189",1%,11.11%,0.01%,14.3%,5.1%,61,1,
KirayeKiPatni,"1,272",0,,,,,0%,0.00%,58.34%,11.7%,14.7%,133,1,
VB2,"1,132",1,"1,132",,,,0%,33.33%,0.01%,0.0%,4.7%,68,1,
Grand Total,"3,096,239","8,756",354,378,36.35%,"2,263",5%,38.88%,29.41%,29.4%,1.3%,83,6,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week (2026-01-28 to 2026-02-03),,,,,,,,,,,,,,
,Spends_GST,af_start_trial_uni,Mandate_CAC,CP_AF_CPT_D0,TCR_D0,AF_CPD1,AF_IR%,TR%_AF,Hook Rate%,Hold Rate%,CTR,CPM,CPC,Spends_gst%
,"3,096,342","8,839",350,375,36.69%,"2,220",5%,38.75%,29.41%,29.4%,1.3%,83,6,1
Grand Total,"3,096,342","8,839",350,375,36.69%,"2,220",5%,38.75%,29.41%,29.4%,1.3%,83,6,1
